CAGDP2 Gross domestic product (GDP) by county and metropolitan area 1
CAGDP2 Gross domestic product (GDP) by county and metropolitan area 1
Metropolitan Statistical Area
GeoFips,GeoName,LineCode,Description,2022
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",1,All industry total,6107649
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",3,"    Agriculture, forestry, fishing and hunting",253789
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",2706
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",10,"    Utilities",51734
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",11,"    Construction",338114
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",12,"    Manufacturing",1312335
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",34,"    Wholesale trade",358329
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",35,"    Retail trade",459431
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",36,"    Transportation and warehousing",362382
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",45,"    Information",74525
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",50,"    Finance, insurance, real estate, rental, and leasing",1006336
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",59,"    Professional and business services",347916
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",68,"    Educational services, health care, and social assistance",512407
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",75,"    Arts, entertainment, recreation, accommodation, and food services",188572
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",82,"    Other services (except government and government enterprises)",128722
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",83,Government and government enterprises,710352
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",1,All industry total,80302855
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",3,"    Agriculture, forestry, fishing and hunting",204301
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",205076
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",10,"    Utilities",2169626
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",11,"    Construction",2896217
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",12,"    Manufacturing",9616532
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",34,"    Wholesale trade",3079593
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",35,"    Retail trade",5124336
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",36,"    Transportation and warehousing",1851099
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",45,"    Information",2628188
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",50,"    Finance, insurance, real estate, rental, and leasing",20053983
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",59,"    Professional and business services",8094949
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",68,"    Educational services, health care, and social assistance",7215965
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",75,"    Arts, entertainment, recreation, accommodation, and food services",2390412
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",82,"    Other services (except government and government enterprises)",1512403
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",83,Government and government enterprises,13260176
10740,"Albuquerque, NM (Metropolitan Statistical Area)",1,All industry total,53861763
10740,"Albuquerque, NM (Metropolitan Statistical Area)",3,"    Agriculture, forestry, fishing and hunting",84605
10740,"Albuquerque, NM (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",(D)
10740,"Albuquerque, NM (Metropolitan Statistical Area)",10,"    Utilities",(D)
10740,"Albuquerque, NM (Metropolitan Statistical Area)",11,"    Construction",2696325
10740,"Albuquerque, NM (Metropolitan Statistical Area)",12,"    Manufacturing",2291991
10740,"Albuquerque, NM (Metropolitan Statistical Area)",34,"    Wholesale trade",2224805
10740,"Albuquerque, NM (Metropolitan Statistical Area)",35,"    Retail trade",3395413
10740,"Albuquerque, NM (Metropolitan Statistical Area)",36,"    Transportation and warehousing",(D)
10740,"Albuquerque, NM (Metropolitan Statistical Area)",45,"    Information",2018049
10740,"Albuquerque, NM (Metropolitan Statistical Area)",50,"    Finance, insurance, real estate, rental, and leasing",(D)
10740,"Albuquerque, NM (Metropolitan Statistical Area)",59,"    Professional and business services",8477943
10740,"Albuquerque, NM (Metropolitan Statistical Area)",68,"    Educational services, health care, and social assistance",4740868
10740,"Albuquerque, NM (Metropolitan Statistical Area)",75,"    Arts, entertainment, recreation, accommodation, and food services",2347429
10740,"Albuquerque, NM (Metropolitan Statistical Area)",82,"    Other services (except government and government enterprises)",1328064
10740,"Albuquerque, NM (Metropolitan Statistical Area)",83,Government and government enterprises,12449593
10780,"Alexandria, LA (Metropolitan Statistical Area)",1,All industry total,7459955
10780,"Alexandria, LA (Metropolitan Statistical Area)",3,"    Agriculture, forestry, fishing and hunting",158145
10780,"Alexandria, LA (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",25914
10780,"Alexandria, LA (Metropolitan Statistical Area)",10,"    Utilities",354425
10780,"Alexandria, LA (Metropolitan Statistical Area)",11,"    Construction",416425
10780,"Alexandria, LA (Metropolitan Statistical Area)",12,"    Manufacturing",723294
10780,"Alexandria, LA (Metropolitan Statistical Area)",34,"    Wholesale trade",(D)
10780,"Alexandria, LA (Metropolitan Statistical Area)",35,"    Retail trade",859392
10780,"Alexandria, LA (Metropolitan Statistical Area)",36,"    Transportation and warehousing",(D)
10780,"Alexandria, LA (Metropolitan Statistical Area)",45,"    Information",(D)
10780,"Alexandria, LA (Metropolitan Statistical Area)",50,"    Finance, insurance, real estate, rental, and leasing",(D)
10780,"Alexandria, LA (Metropolitan Statistical Area)",59,"    Professional and business services",560527
10780,"Alexandria, LA (Metropolitan Statistical Area)",68,"    Educational services, health care, and social assistance",1022650
10780,"Alexandria, LA (Metropolitan Statistical Area)",75,"    Arts, entertainment, recreation, accommodation, and food services",(D)
10780,"Alexandria, LA (Metropolitan Statistical Area)",82,"    Other services (except government and government enterprises)",(D)
10780,"Alexandria, LA (Metropolitan Statistical Area)",83,Government and government enterprises,1307936
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",1,All industry total,54322843
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",3,"    Agriculture, forestry, fishing and hunting",290337
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",(D)
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",10,"    Utilities",641614
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",11,"    Construction",(D)
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",12,"    Manufacturing",8088645
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",34,"    Wholesale trade",(D)
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",35,"    Retail trade",3472173
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",36,"    Transportation and warehousing",3346149
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",45,"    Information",2879524
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",50,"    Finance, insurance, real estate, rental, and leasing",(D)
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",59,"    Professional and business services",6269559
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",68,"    Educational services, health care, and social assistance",7521372
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",75,"    Arts, entertainment, recreation, accommodation, and food services",2088226
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",82,"    Other services (except government and government enterprises)",1153893
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",83,Government and government enterprises,4095991
11020,"Altoona, PA (Metropolitan Statistical Area)",1,All industry total,7237590
11020,"Altoona, PA (Metropolitan Statistical Area)",3,"    Agriculture, forestry, fishing and hunting",91553
11020,"Altoona, PA (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",51844
11020,"Altoona, PA (Metropolitan Statistical Area)",10,"    Utilities",36947
11020,"Altoona, PA (Metropolitan Statistical Area)",11,"    Construction",238524
11020,"Altoona, PA (Metropolitan Statistical Area)",12,"    Manufacturing",897700
11020,"Altoona, PA (Metropolitan Statistical Area)",34,"    Wholesale trade",482392
11020,"Altoona, PA (Metropolitan Statistical Area)",35,"    Retail trade",733766
11020,"Altoona, PA (Metropolitan Statistical Area)",36,"    Transportation and warehousing",537497
11020,"Altoona, PA (Metropolitan Statistical Area)",45,"    Information",493829
11020,"Altoona, PA (Metropolitan Statistical Area)",50,"    Finance, insurance, real estate, rental, and leasing",903494
11020,"Altoona, PA (Metropolitan Statistical Area)",59,"    Professional and business services",556513
11020,"Altoona, PA (Metropolitan Statistical Area)",68,"    Educational services, health care, and social assistance",959311
11020,"Altoona, PA (Metropolitan Statistical Area)",75,"    Arts, entertainment, recreation, accommodation, and food services",247721
11020,"Altoona, PA (Metropolitan Statistical Area)",82,"    Other services (except government and government enterprises)",168040
11020,"Altoona, PA (Metropolitan Statistical Area)",83,Government and government enterprises,838460
11100,"Amarillo, TX (Metropolitan Statistical Area)",1,All industry total,17375642
11100,"Amarillo, TX (Metropolitan Statistical Area)",3,"    Agriculture, forestry, fishing and hunting",342689
11100,"Amarillo, TX (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",(D)
11100,"Amarillo, TX (Metropolitan Statistical Area)",10,"    Utilities",989375
11100,"Amarillo, TX (Metropolitan Statistical Area)",11,"    Construction",(D)
11100,"Amarillo, TX (Metropolitan Statistical Area)",12,"    Manufacturing",2907672
11100,"Amarillo, TX (Metropolitan Statistical Area)",34,"    Wholesale trade",874890
11100,"Amarillo, TX (Metropolitan Statistical Area)",35,"    Retail trade",1505378
11100,"Amarillo, TX (Metropolitan Statistical Area)",36,"    Transportation and warehousing",716845
11100,"Amarillo, TX (Metropolitan Statistical Area)",45,"    Information",433425
11100,"Amarillo, TX (Metropolitan Statistical Area)",50,"    Finance, insurance, real estate, rental, and leasing",(D)
11100,"Amarillo, TX (Metropolitan Statistical Area)",59,"    Professional and business services",1271841
11100,"Amarillo, TX (Metropolitan Statistical Area)",68,"    Educational services, health care, and social assistance",(D)
11100,"Amarillo, TX (Metropolitan Statistical Area)",75,"    Arts, entertainment, recreation, accommodation, and food services",682178
11100,"Amarillo, TX (Metropolitan Statistical Area)",82,"    Other services (except government and government enterprises)",486413
11100,"Amarillo, TX (Metropolitan Statistical Area)",83,Government and government enterprises,1963847
11180,"Ames, IA (Metropolitan Statistical Area)",1,All industry total,8103976
11180,"Ames, IA (Metropolitan Statistical Area)",3,"    Agriculture, forestry, fishing and hunting",334815
11180,"Ames, IA (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",28989
11180,"Ames, IA (Metropolitan Statistical Area)",10,"    Utilities",148744
11180,"Ames, IA (Metropolitan Statistical Area)",11,"    Construction",318031
11180,"Ames, IA (Metropolitan Statistical Area)",12,"    Manufacturing",1411505
11180,"Ames, IA (Metropolitan Statistical Area)",34,"    Wholesale trade",361884
11180,"Ames, IA (Metropolitan Statistical Area)",35,"    Retail trade",460201
11180,"Ames, IA (Metropolitan Statistical Area)",36,"    Transportation and warehousing",145670
11180,"Ames, IA (Metropolitan Statistical Area)",45,"    Information",(D)
11180,"Ames, IA (Metropolitan Statistical Area)",50,"    Finance, insurance, real estate, rental, and leasing",1257716
11180,"Ames, IA (Metropolitan Statistical Area)",59,"    Professional and business services",720618
11180,"Ames, IA (Metropolitan Statistical Area)",68,"    Educational services, health care, and social assistance",412214
11180,"Ames, IA (Metropolitan Statistical Area)",75,"    Arts, entertainment, recreation, accommodation, and food services",217231
11180,"Ames, IA (Metropolitan Statistical Area)",82,"    Other services (except government and government enterprises)",(D)
11180,"Ames, IA (Metropolitan Statistical Area)",83,Government and government enterprises,1926220
11260,"Anchorage, AK (Metropolitan Statistical Area)",1,All industry total,31569987
11260,"Anchorage, AK (Metropolitan Statistical Area)",3,"    Agriculture, forestry, fishing and hunting",69530
11260,"Anchorage, AK (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",586374
11260,"Anchorage, AK (Metropolitan Statistical Area)",10,"    Utilities",487986
11260,"Anchorage, AK (Metropolitan Statistical Area)",11,"    Construction",1590913
11260,"Anchorage, AK (Metropolitan Statistical Area)",12,"    Manufacturing",241913
11260,"Anchorage, AK (Metropolitan Statistical Area)",34,"    Wholesale trade",1305916
11260,"Anchorage, AK (Metropolitan Statistical Area)",35,"    Retail trade",1908352
11260,"Anchorage, AK (Metropolitan Statistical Area)",36,"    Transportation and warehousing",6162854
11260,"Anchorage, AK (Metropolitan Statistical Area)",45,"    Information",1205404
11260,"Anchorage, AK (Metropolitan Statistical Area)",50,"    Finance, insurance, real estate, rental, and leasing",4653351
11260,"Anchorage, AK (Metropolitan Statistical Area)",59,"    Professional and business services",2535393
11260,"Anchorage, AK (Metropolitan Statistical Area)",68,"    Educational services, health care, and social assistance",3376539
11260,"Anchorage, AK (Metropolitan Statistical Area)",75,"    Arts, entertainment, recreation, accommodation, and food services",1227390
11260,"Anchorage, AK (Metropolitan Statistical Area)",82,"    Other services (except government and government enterprises)",644976
11260,"Anchorage, AK (Metropolitan Statistical Area)",83,Government and government enterprises,5573097
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",1,All industry total,30556485
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",3,"    Agriculture, forestry, fishing and hunting",9958
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",2250
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",10,"    Utilities",173088
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",11,"    Construction",791848
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",12,"    Manufacturing",1790522
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",34,"    Wholesale trade",2075810
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",35,"    Retail trade",1533897
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",36,"    Transportation and warehousing",626316
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",45,"    Information",2071571
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",50,"    Finance, insurance, real estate, rental, and leasing",4662086
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",59,"    Professional and business services",4568081
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",68,"    Educational services, health care, and social assistance",2580683
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",75,"    Arts, entertainment, recreation, accommodation, and food services",982942
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",82,"    Other services (except government and government enterprises)",549589
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",83,Government and government enterprises,8137843
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",1,All industry total,5466368
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",3,"    Agriculture, forestry, fishing and hunting",44930
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",2952
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",10,"    Utilities",64962
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",11,"    Construction",140289
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",12,"    Manufacturing",1201577
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",34,"    Wholesale trade",398870
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",35,"    Retail trade",494819
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",36,"    Transportation and warehousing",113007
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",45,"    Information",111300
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",50,"    Finance, insurance, real estate, rental, and leasing",715131
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",59,"    Professional and business services",293033
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",68,"    Educational services, health care, and social assistance",298996
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",75,"    Arts, entertainment, recreation, accommodation, and food services",206863
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",82,"    Other services (except government and government enterprises)",133809
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",83,Government and government enterprises,1245831
11540,"Appleton, WI (Metropolitan Statistical Area)",1,All industry total,16977033
11540,"Appleton, WI (Metropolitan Statistical Area)",3,"    Agriculture, forestry, fishing and hunting",374218
11540,"Appleton, WI (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",60363
11540,"Appleton, WI (Metropolitan Statistical Area)",10,"    Utilities",405992
11540,"Appleton, WI (Metropolitan Statistical Area)",11,"    Construction",1136438
11540,"Appleton, WI (Metropolitan Statistical Area)",12,"    Manufacturing",3233809
11540,"Appleton, WI (Metropolitan Statistical Area)",34,"    Wholesale trade",1760185
11540,"Appleton, WI (Metropolitan Statistical Area)",35,"    Retail trade",1181183
11540,"Appleton, WI (Metropolitan Statistical Area)",36,"    Transportation and warehousing",(D)
11540,"Appleton, WI (Metropolitan Statistical Area)",45,"    Information",(D)
11540,"Appleton, WI (Metropolitan Statistical Area)",50,"    Finance, insurance, real estate, rental, and leasing",2994445
11540,"Appleton, WI (Metropolitan Statistical Area)",59,"    Professional and business services",1493880
11540,"Appleton, WI (Metropolitan Statistical Area)",68,"    Educational services, health care, and social assistance",(D)
11540,"Appleton, WI (Metropolitan Statistical Area)",75,"    Arts, entertainment, recreation, accommodation, and food services",500314
11540,"Appleton, WI (Metropolitan Statistical Area)",82,"    Other services (except government and government enterprises)",(D)
11540,"Appleton, WI (Metropolitan Statistical Area)",83,Government and government enterprises,1280056
