"Label (Grouping)","Total"
"Cincinnati-Wilmington-Maysville, OH-KY-IN CSA",""
"    Estimate","2,320,746"
"    Margin of Error","±5,382"
"Cleveland-Akron-Canton, OH CSA",""
"    Estimate","3,615,968"
"    Margin of Error","*****"
"Clovis-Portales, NM CSA",""
"    Estimate","67,018"
"    Margin of Error","*****"
"Columbia-Moberly-Mexico, MO CSA",""
"    Estimate","262,538"
"    Margin of Error","±2,016"
"Columbia-Orangeburg-Newberry, SC CSA",""
"    Estimate","957,282"
"    Margin of Error","±2,176"
"Columbus-Auburn-Opelika, GA-AL CSA",""
"    Estimate","503,709"
"    Margin of Error","±3,282"
"Columbus-Marion-Zanesville, OH CSA",""
"    Estimate","2,555,732"
"    Margin of Error","*****"
"Columbus-West Point, MS CSA",""
"    Estimate","77,507"
"    Margin of Error","±2,726"
"Corpus Christi-Kingsville-Alice, TX CSA",""
"    Estimate","527,659"
"    Margin of Error","±5,323"
"Dallas-Fort Worth, TX-OK CSA",""
"    Estimate","8,255,035"
"    Margin of Error","*****"
"Davenport-Moline, IA-IL CSA",""
"    Estimate","470,598"
"    Margin of Error","±970"
"Dayton-Springfield-Kettering, OH CSA",""
"    Estimate","1,087,422"
"    Margin of Error","*****"
"Denver-Aurora, CO CSA",""
"    Estimate","3,642,146"
"    Margin of Error","*****"
"DeRidder-Fort Polk South, LA CSA",""
"    Estimate","84,611"
"    Margin of Error","*****"
"Des Moines-Ames-West Des Moines, IA CSA",""
"    Estimate","900,705"
"    Margin of Error","*****"
"Detroit-Warren-Ann Arbor, MI CSA",""
"    Estimate","5,393,033"
"    Margin of Error","*****"
"Dixon-Sterling, IL CSA",""
"    Estimate","89,354"
"    Margin of Error","*****"
"Dothan-Ozark, AL CSA",""
"    Estimate","200,960"
"    Margin of Error","*****"
"Eau Claire-Menomonie, WI CSA",""
"    Estimate","218,864"
"    Margin of Error","*****"
"Edwards-Glenwood Springs, CO CSA",""
"    Estimate","136,811"
"    Margin of Error","±1,706"
"Elmira-Corning, NY CSA",""
"    Estimate","175,993"
"    Margin of Error","*****"
"El Paso-Las Cruces, TX-NM CSA",""
"    Estimate","1,093,235"
"    Margin of Error","±1,630"
"Erie-Meadville, PA CSA",""
"    Estimate","352,362"
"    Margin of Error","*****"
"Fargo-Wahpeton, ND-MN CSA",""
"    Estimate","275,051"
"    Margin of Error","±660"
"Fayetteville-Sanford-Lumberton, NC CSA",""
"    Estimate","842,044"
"    Margin of Error","*****"
"Fort Wayne-Huntington-Auburn, IN CSA",""
"    Estimate","649,105"
"    Margin of Error","*****"
"Fresno-Madera-Hanford, CA CSA",""
"    Estimate","1,326,434"
"    Margin of Error","*****"
"Gainesville-Lake City, FL CSA",""
"    Estimate","415,266"
"    Margin of Error","±2,910"
"Grand Rapids-Kentwood-Muskegon, MI CSA",""
"    Estimate","1,429,112"
"    Margin of Error","*****"
"Green Bay-Shawano, WI CSA",""
"    Estimate","374,115"
"    Margin of Error","±752"
"Greensboro--Winston-Salem--High Point, NC CSA",""
"    Estimate","1,705,315"
"    Margin of Error","*****"
"Greenville-Kinston-Washington, NC CSA",""
"    Estimate","271,343"
"    Margin of Error","*****"
"Greenville-Spartanburg-Anderson, SC CSA",""
"    Estimate","1,508,150"
"    Margin of Error","*****"
"Harrisburg-York-Lebanon, PA CSA",""
"    Estimate","1,302,621"
"    Margin of Error","*****"
"Harrisonburg-Staunton, VA CSA",""
"    Estimate","261,598"
"    Margin of Error","*****"
"Hartford-East Hartford, CT CSA",""
"    Estimate","1,480,711"
"    Margin of Error","*****"
"Hattiesburg-Laurel, MS CSA",""
"    Estimate","255,235"
"    Margin of Error","±3,931"
"Hot Springs-Malvern, AR CSA",""
"    Estimate","133,478"
"    Margin of Error","*****"
"Houston-The Woodlands, TX CSA",""
"    Estimate","7,398,775"
"    Margin of Error","*****"
"Huntsville-Decatur, AL CSA",""
"    Estimate","659,486"
"    Margin of Error","*****"
"Idaho Falls-Rexburg-Blackfoot, ID CSA",""
"    Estimate","279,624"
"    Margin of Error","±2,104"
"Indianapolis-Carmel-Muncie, IN CSA",""
"    Estimate","2,510,619"
"    Margin of Error","±2,781"
"Ithaca-Cortland, NY CSA",""
"    Estimate","151,473"
"    Margin of Error","*****"
"Jackson-Brownsville, TN CSA",""
"    Estimate","199,329"
"    Margin of Error","±1,127"
"Jackson-Vicksburg-Brookhaven, MS CSA",""
"    Estimate","665,279"
"    Margin of Error","±2,563"
"Jacksonville-St. Marys-Palatka, FL-GA CSA",""
"    Estimate","1,767,497"
"    Margin of Error","*****"
"Johnson City-Kingsport-Bristol, TN-VA CSA",""
"    Estimate","513,290"
"    Margin of Error","±2,911"
"Johnstown-Somerset, PA CSA",""
"    Estimate","205,794"
"    Margin of Error","*****"
"Jonesboro-Paragould, AR CSA",""
"    Estimate","181,195"
"    Margin of Error","*****"
"Joplin-Miami, MO-OK CSA",""
"    Estimate","212,881"
"    Margin of Error","*****"
"Kalamazoo-Battle Creek-Portage, MI CSA",""
"    Estimate","500,670"
"    Margin of Error","*****"
"Kansas City-Overland Park-Kansas City, MO-KS CSA",""
"    Estimate","2,533,518"
"    Margin of Error","±2,272"
"Kennewick-Richland-Walla Walla, WA CSA",""
"    Estimate","370,975"
"    Margin of Error","*****"
"Kerrville-Fredericksburg, TX CSA",""
"    Estimate","80,458"
"    Margin of Error","*****"
"Knoxville-Morristown-Sevierville, TN CSA",""
"    Estimate","1,172,792"
"    Margin of Error","±2,020"
"Kokomo-Peru, IN CSA",""
"    Estimate","119,768"
"    Margin of Error","*****"
"Lafayette-Opelousas-Morgan City, LA CSA",""
"    Estimate","609,515"
"    Margin of Error","*****"
"Lafayette-West Lafayette-Frankfort, IN CSA",""
"    Estimate","257,318"
"    Margin of Error","±1,737"
"Lake Charles-Jennings, LA CSA",""
"    Estimate","241,025"
"    Margin of Error","±1,365"
"Las Vegas-Henderson, NV CSA",""
"    Estimate","2,345,926"
"    Margin of Error","*****"
"Lexington-Fayette--Richmond--Frankfort, KY CSA",""
"    Estimate","750,646"
"    Margin of Error","±2,798"
"Lima-Van Wert-Celina, OH CSA",""
"    Estimate","218,852"
"    Margin of Error","*****"
"Lincoln-Beatrice, NE CSA",""
"    Estimate","364,651"
"    Margin of Error","±1,390"
"Little Rock-North Little Rock, AR CSA",""
"    Estimate","913,627"
"    Margin of Error","±1,741"
"Los Angeles-Long Beach, CA CSA",""
"    Estimate","18,490,242"
"    Margin of Error","*****"
"Louisville/Jefferson County--Elizabethtown--Bardstown, KY-IN CSA",""
"    Estimate","1,513,121"
"    Margin of Error","±3,924"
"Lubbock-Plainview-Levelland, TX CSA",""
"    Estimate","380,129"
"    Margin of Error","±2,142"
"Macon-Bibb County--Warner Robins, GA CSA",""
"    Estimate","428,021"
"    Margin of Error","±2,663"
"Madison-Janesville-Beloit, WI CSA",""
"    Estimate","913,261"
"    Margin of Error","*****"
"Mankato-New Ulm, MN CSA",""
"    Estimate","129,431"
"    Margin of Error","*****"
"Mansfield-Ashland-Bucyrus, OH CSA",""
"    Estimate","219,265"
"    Margin of Error","*****"
"Marinette-Iron Mountain, WI-MI CSA",""
"    Estimate","95,098"
"    Margin of Error","±855"
"Mayagüez-San Germán, PR CSA",""
"    Estimate","215,864"
"    Margin of Error","±3,227"
"McAllen-Edinburg, TX CSA",""
"    Estimate","946,405"
"    Margin of Error","*****"
"Medford-Grants Pass, OR CSA",""
"    Estimate","312,080"
"    Margin of Error","*****"
"Memphis-Forrest City, TN-MS-AR CSA",""
"    Estimate","1,359,177"
"    Margin of Error","±2,042"
"Miami-Port St. Lucie-Fort Lauderdale, FL CSA",""
"    Estimate","6,841,100"
"    Margin of Error","*****"
"Midland-Odessa, TX CSA",""
"    Estimate","333,322"
"    Margin of Error","±1,243"
"Milwaukee-Racine-Waukesha, WI CSA",""
"    Estimate","2,044,438"
"    Margin of Error","*****"
"Minneapolis-St. Paul, MN-WI CSA",""
"    Estimate","4,080,232"
"    Margin of Error","*****"
"Mobile-Daphne-Fairhope, AL CSA",""
"    Estimate","670,008"
"    Margin of Error","±2,584"
"Monroe-Ruston, LA CSA",""
"    Estimate","253,036"
"    Margin of Error","*****"
"Montgomery-Selma-Alexander City, AL CSA",""
"    Estimate","474,930"
"    Margin of Error","±2,529"
"Morgantown-Fairmont, WV CSA",""
"    Estimate","196,746"
"    Margin of Error","*****"
"Moses Lake-Othello, WA CSA",""
"    Estimate","120,092"
"    Margin of Error","±2,183"
"Mount Pleasant-Alma, MI CSA",""
"    Estimate","106,357"
"    Margin of Error","*****"
"Myrtle Beach-Conway, SC-NC CSA",""
"    Estimate","573,715"
"    Margin of Error","*****"
"Nashville-Davidson--Murfreesboro, TN CSA",""
"    Estimate","2,144,437"
"    Margin of Error","±2,463"
"New Bern-Morehead City, NC CSA",""
"    Estimate","189,049"
"    Margin of Error","±2,141"
"New Orleans-Metairie-Hammond, LA-MS CSA",""
"    Estimate","1,498,579"
"    Margin of Error","*****"
"New York-Newark, NY-NJ-CT-PA CSA",""
"    Estimate","23,216,685"
"    Margin of Error","*****"
"North Port-Sarasota, FL CSA",""
"    Estimate","1,089,011"
"    Margin of Error","*****"
"Oklahoma City-Shawnee, OK CSA",""
"    Estimate","1,514,666"
"    Margin of Error","*****"
"Omaha-Council Bluffs-Fremont, NE-IA CSA",""
"    Estimate","1,009,298"
"    Margin of Error","±1,188"
"Orlando-Lakeland-Deltona, FL CSA",""
"    Estimate","4,291,852"
"    Margin of Error","*****"
"Paducah-Mayfield, KY-IL CSA",""
"    Estimate","136,113"
"    Margin of Error","±2,985"
"Parkersburg-Marietta-Vienna, WV-OH CSA",""
"    Estimate","147,604"
"    Margin of Error","±1,159"
"Pensacola-Ferry Pass, FL-AL CSA",""
"    Estimate","553,087"
"    Margin of Error","*****"
"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA",""
"    Estimate","7,366,346"
"    Margin of Error","*****"
"Phoenix-Mesa, AZ CSA",""
"    Estimate","4,999,734"
"    Margin of Error","*****"
"Pittsburgh-New Castle-Weirton, PA-OH-WV CSA",""
"    Estimate","2,635,719"
"    Margin of Error","±2,864"
"Ponce-Yauco-Coamo, PR CSA",""
"    Estimate","362,793"
"    Margin of Error","±3,641"
"Portland-Lewiston-South Portland, ME CSA",""
"    Estimate","667,927"
"    Margin of Error","*****"
"Portland-Vancouver-Salem, OR-WA CSA",""
"    Estimate","3,284,359"
"    Margin of Error","±1,126"
"Pueblo-Cañon City, CO CSA",""
"    Estimate","219,283"
"    Margin of Error","*****"
"Pullman-Moscow, WA-ID CSA",""
"    Estimate","88,186"
"    Margin of Error","*****"
"Quincy-Hannibal, IL-MO CSA",""
"    Estimate","112,903"
"    Margin of Error","±1,671"
"Raleigh-Durham-Cary, NC CSA",""
"    Estimate","2,144,608"
"    Margin of Error","*****"
"Rapid City-Spearfish, SD CSA",""
"    Estimate","167,610"
"    Margin of Error","±3,355"
"Redding-Red Bluff, CA CSA",""
"    Estimate","247,637"
"    Margin of Error","*****"
"Reno-Carson City-Fernley, NV CSA",""
"    Estimate","666,763"
"    Margin of Error","±1,565"
"Richmond-Connersville, IN CSA",""
"    Estimate","87,141"
"    Margin of Error","±2,781"
"Rochester-Austin, MN CSA",""
"    Estimate","267,309"
"    Margin of Error","*****"
"Rochester-Batavia-Seneca Falls, NY CSA",""
"    Estimate","1,176,514"
"    Margin of Error","*****"
"Rockford-Freeport-Rochelle, IL CSA",""
"    Estimate","431,748"
"    Margin of Error","*****"
"Rocky Mount-Wilson-Roanoke Rapids, NC CSA",""
"    Estimate","287,374"
"    Margin of Error","±2,851"
"Sacramento-Roseville, CA CSA",""
"    Estimate","2,697,399"
"    Margin of Error","*****"
"Saginaw-Midland-Bay City, MI CSA",""
"    Estimate","376,033"
"    Margin of Error","*****"
"St. Louis-St. Charles-Farmington, MO-IL CSA",""
"    Estimate","2,911,546"
"    Margin of Error","±1,864"
"Salisbury-Cambridge, MD-DE CSA",""
"    Estimate","461,712"
"    Margin of Error","*****"
"Salt Lake City-Provo-Orem, UT CSA",""
"    Estimate","2,747,569"
"    Margin of Error","±719"
"San Antonio-New Braunfels-Pearsall, TX CSA",""
"    Estimate","2,620,224"
"    Margin of Error","*****"
"San Jose-San Francisco-Oakland, CA CSA",""
"    Estimate","9,545,921"
"    Margin of Error","*****"
"San Juan-Bayamón, PR CSA",""
"    Estimate","2,345,507"
"    Margin of Error","±3,096"
"Savannah-Hinesville-Statesboro, GA CSA",""
"    Estimate","602,201"
"    Margin of Error","±2,561"
"Scottsboro-Fort Payne, AL CSA",""
"    Estimate","124,586"
"    Margin of Error","*****"
"Seattle-Tacoma, WA CSA",""
"    Estimate","4,953,985"
"    Margin of Error","*****"
"Shreveport-Bossier City-Minden, LA CSA",""
"    Estimate","425,339"
"    Margin of Error","*****"
"South Bend-Elkhart-Mishawaka, IN-MI CSA",""
"    Estimate","809,944"
"    Margin of Error","*****"
"Spokane-Spokane Valley-Coeur d'Alene, WA-ID CSA",""
"    Estimate","773,255"
"    Margin of Error","*****"
"Springfield-Jacksonville-Lincoln, IL CSA",""
"    Estimate","307,194"
"    Margin of Error","±2,024"
"State College-DuBois, PA CSA",""
"    Estimate","237,609"
"    Margin of Error","*****"
"Syracuse-Auburn, NY CSA",""
"    Estimate","734,161"
"    Margin of Error","*****"
"Toledo-Findlay-Tiffin, OH CSA",""
"    Estimate","832,494"
"    Margin of Error","*****"
"Tucson-Nogales, AZ CSA",""
"    Estimate","1,099,913"
"    Margin of Error","*****"
"Tulsa-Muskogee-Bartlesville, OK CSA",""
"    Estimate","1,143,109"
"    Margin of Error","±1,237"
"Tupelo-Corinth, MS CSA",""
"    Estimate","197,511"
"    Margin of Error","*****"
"Tyler-Jacksonville, TX CSA",""
"    Estimate","288,283"
"    Margin of Error","*****"
"Victoria-Port Lavaca, TX CSA",""
"    Estimate","120,523"
"    Margin of Error","±2,232"
"Virginia Beach-Norfolk, VA-NC CSA",""
"    Estimate","1,898,785"
"    Margin of Error","±6,440"
"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA",""
"    Estimate","9,948,744"
"    Margin of Error","±2,024"
"Wausau-Stevens Point-Wisconsin Rapids, WI CSA",""
"    Estimate","310,727"
"    Margin of Error","*****"
"Wichita-Winfield, KS CSA",""
"    Estimate","682,415"
"    Margin of Error","*****"
"Williamsport-Lock Haven, PA CSA",""
"    Estimate","151,070"
"    Margin of Error","*****"
"Youngstown-Warren, OH-PA CSA",""
"    Estimate","639,379"
"    Margin of Error","*****"
