"Label (Grouping)","Total"
"    Estimate","414,761"
"    Margin of Error","±2,065"
"Columbia-Sumter-Orangeburg, SC CSA",""
"    Estimate","1,082,699"
"    Margin of Error","±1,730"
"Columbus-Auburn-Opelika, GA-AL CSA",""
"    Estimate","572,400"
"    Margin of Error","±3,455"
"Columbus-Marion-Zanesville, OH CSA",""
"    Estimate","2,646,917"
"    Margin of Error","*****"
"Corpus Christi-Kingsville-Alice, TX CSA",""
"    Estimate","521,874"
"    Margin of Error","±2,560"
"Dallas-Fort Worth, TX-OK CSA",""
"    Estimate","8,654,750"
"    Margin of Error","*****"
"Davenport-Moline, IA-IL CSA",""
"    Estimate","468,245"
"    Margin of Error","±1,016"
"Dayton-Springfield-Kettering, OH CSA",""
"    Estimate","1,086,998"
"    Margin of Error","*****"
"Denver-Aurora-Greeley, CO CSA",""
"    Estimate","3,691,404"
"    Margin of Error","*****"
"Des Moines-West Des Moines-Ames, IA CSA",""
"    Estimate","917,964"
"    Margin of Error","*****"
"Detroit-Warren-Ann Arbor, MI CSA",""
"    Estimate","5,361,927"
"    Margin of Error","*****"
"Dixon-Sterling, IL CSA",""
"    Estimate","88,152"
"    Margin of Error","*****"
"Dothan-Enterprise-Ozark, AL CSA",""
"    Estimate","258,863"
"    Margin of Error","*****"
"Duluth-Grand Rapids, MN-WI CSA",""
"    Estimate","326,968"
"    Margin of Error","*****"
"Eau Claire-Menomonie, WI CSA",""
"    Estimate","220,667"
"    Margin of Error","*****"
"Edwards-Rifle, CO CSA",""
"    Estimate","133,140"
"    Margin of Error","±1,729"
"Elmira-Corning, NY CSA",""
"    Estimate","173,487"
"    Margin of Error","*****"
"El Paso-Las Cruces, TX-NM CSA",""
"    Estimate","1,097,273"
"    Margin of Error","±1,517"
"Erie-Meadville, PA CSA",""
"    Estimate","349,572"
"    Margin of Error","*****"
"Evansville-Henderson, IN-KY CSA",""
"    Estimate","328,173"
"    Margin of Error","±1,589"
"Fairmont-Clarksburg, WV CSA",""
"    Estimate","143,143"
"    Margin of Error","±2,868"
"Fargo-Wahpeton, ND-MN CSA",""
"    Estimate","285,089"
"    Margin of Error","±682"
"Fayetteville-Lumberton-Pinehurst, NC CSA",""
"    Estimate","693,299"
"    Margin of Error","*****"
"Findlay-Tiffin, OH CSA",""
"    Estimate","129,231"
"    Margin of Error","*****"
"Florence-Muscle Shoals-Russellville, AL CSA",""
"    Estimate","186,977"
"    Margin of Error","*****"
"Fort Wayne-Huntington-Auburn, IN CSA",""
"    Estimate","657,456"
"    Margin of Error","*****"
"Fresno-Hanford-Corcoran, CA CSA",""
"    Estimate","1,332,702"
"    Margin of Error","*****"
"Gainesville-Lake City, FL CSA",""
"    Estimate","423,266"
"    Margin of Error","±2,478"
"Grand Rapids-Wyoming, MI CSA",""
"    Estimate","1,502,552"
"    Margin of Error","*****"
"Green Bay-Shawano, WI CSA",""
"    Estimate","376,759"
"    Margin of Error","±630"
"Greensboro--Winston-Salem--High Point, NC CSA",""
"    Estimate","1,736,099"
"    Margin of Error","*****"
"Greenville-Spartanburg-Anderson, SC CSA",""
"    Estimate","1,591,579"
"    Margin of Error","±1,589"
"Greenville-Washington, NC CSA",""
"    Estimate","219,600"
"    Margin of Error","*****"
"Harrisburg-York-Lebanon, PA CSA",""
"    Estimate","1,321,695"
"    Margin of Error","*****"
"Harrisonburg-Staunton-Stuarts Draft, VA CSA",""
"    Estimate","264,994"
"    Margin of Error","*****"
"Hattiesburg-Laurel, MS CSA",""
"    Estimate","236,702"
"    Margin of Error","±2,857"
"Hot Springs-Malvern, AR CSA",""
"    Estimate","133,042"
"    Margin of Error","*****"
"Houston-Pasadena, TX CSA",""
"    Estimate","7,706,627"
"    Margin of Error","*****"
"Huntsville-Decatur-Albertville, AL-TN CSA",""
"    Estimate","895,383"
"    Margin of Error","*****"
"Idaho Falls-Rexburg-Blackfoot, ID CSA",""
"    Estimate","286,247"
"    Margin of Error","±1,641"
"Indianapolis-Carmel-Muncie, IN CSA",""
"    Estimate","2,653,174"
"    Margin of Error","±2,609"
"Ithaca-Cortland, NY CSA",""
"    Estimate","149,310"
"    Margin of Error","*****"
"Jackson-Vicksburg-Brookhaven, MS CSA",""
"    Estimate","686,582"
"    Margin of Error","±2,511"
"Jacksonville-Kingsland-Palatka, FL-GA CSA",""
"    Estimate","1,847,313"
"    Margin of Error","*****"
"Johnson City-Kingsport-Bristol, TN-VA CSA",""
"    Estimate","597,628"
"    Margin of Error","±2,832"
"Johnstown-Somerset, PA CSA",""
"    Estimate","202,865"
"    Margin of Error","*****"
"Jonesboro-Paragould, AR CSA",""
"    Estimate","183,133"
"    Margin of Error","*****"
"Joplin-Miami, MO-OK-KS CSA",""
"    Estimate","235,074"
"    Margin of Error","*****"
"Kalamazoo-Battle Creek-Portage, MI CSA",""
"    Estimate","456,459"
"    Margin of Error","*****"
"Kansas City-Overland Park-Kansas City, MO-KS CSA",""
"    Estimate","2,556,492"
"    Margin of Error","±2,601"
"Keene-Brattleboro, NH-VT CSA",""
"    Estimate","123,669"
"    Margin of Error","*****"
"Kennewick-Richland-Walla Walla, WA CSA",""
"    Estimate","375,821"
"    Margin of Error","*****"
"Knoxville-Morristown-Sevierville, TN CSA",""
"    Estimate","1,207,890"
"    Margin of Error","±1,620"
"La Crosse-Onalaska-Sparta, WI-MN CSA",""
"    Estimate","216,389"
"    Margin of Error","*****"
"Lafayette-New Iberia-Opelousas, LA CSA",""
"    Estimate","563,411"
"    Margin of Error","*****"
"Lafayette-West Lafayette-Frankfort, IN CSA",""
"    Estimate","284,477"
"    Margin of Error","±1,940"
"Lake Charles-DeRidder, LA CSA",""
"    Estimate","277,037"
"    Margin of Error","±1,793"
"Lansing-East Lansing-Owosso, MI CSA",""
"    Estimate","541,202"
"    Margin of Error","*****"
"Las Vegas-Henderson, NV CSA",""
"    Estimate","2,392,293"
"    Margin of Error","*****"
"Lawton-Duncan, OK CSA",""
"    Estimate","170,701"
"    Margin of Error","±502"
"Lexington-Fayette--Richmond--Frankfort, KY CSA",""
"    Estimate","769,046"
"    Margin of Error","±4,175"
"Lima-Van Wert-Celina, OH CSA",""
"    Estimate","218,031"
"    Margin of Error","*****"
"Lincoln-Beatrice, NE CSA",""
"    Estimate","365,254"
"    Margin of Error","±1,580"
"Little Rock-North Little Rock, AR CSA",""
"    Estimate","913,877"
"    Margin of Error","±2,754"
"Los Angeles-Long Beach, CA CSA",""
"    Estimate","18,316,743"
"    Margin of Error","*****"
"Louisville/Jefferson County--Elizabethtown, KY-IN CSA",""
"    Estimate","1,494,145"
"    Margin of Error","±3,095"
"Lubbock-Plainview, TX CSA",""
"    Estimate","397,668"
"    Margin of Error","±2,531"
"Macon-Bibb County--Warner Robins, GA CSA",""
"    Estimate","433,799"
"    Margin of Error","±2,559"
"Madison-Janesville-Beloit, WI CSA",""
"    Estimate","924,543"
"    Margin of Error","*****"
"Mankato-New Ulm, MN CSA",""
"    Estimate","129,876"
"    Margin of Error","*****"
"Mansfield-Ashland-Bucyrus, OH CSA",""
"    Estimate","218,783"
"    Margin of Error","*****"
"Marinette-Iron Mountain, WI-MI CSA",""
"    Estimate","95,590"
"    Margin of Error","±841"
"Mayagüez-Aguadilla, PR CSA",""
"    Estimate","455,780"
"    Margin of Error","±2,418"
"McAllen-Edinburg, TX CSA",""
"    Estimate","964,405"
"    Margin of Error","*****"
"Medford-Grants Pass, OR CSA",""
"    Estimate","308,589"
"    Margin of Error","*****"
"Memphis-Clarksdale-Forrest City, TN-MS-AR CSA",""
"    Estimate","1,377,727"
"    Margin of Error","±2,648"
"Miami-Port St. Lucie-Fort Lauderdale, FL CSA",""
"    Estimate","7,014,078"
"    Margin of Error","±2,420"
"Middlesborough-Corbin, KY CSA",""
"    Estimate","172,193"
"    Margin of Error","±3,003"
"Midland-Odessa-Andrews, TX CSA",""
"    Estimate","365,590"
"    Margin of Error","±1,357"
"Milwaukee-Racine-Waukesha, WI CSA",""
"    Estimate","2,036,833"
"    Margin of Error","*****"
"Minneapolis-St. Paul, MN-WI CSA",""
"    Estimate","4,104,786"
"    Margin of Error","*****"
"Mobile-Daphne-Fairhope, AL CSA",""
"    Estimate","665,147"
"    Margin of Error","*****"
"Monroe-Ruston, LA CSA",""
"    Estimate","270,303"
"    Margin of Error","±2,066"
"Montgomery-Selma, AL CSA",""
"    Estimate","421,628"
"    Margin of Error","±1,953"
"Moses Lake-Othello, WA CSA",""
"    Estimate","123,043"
"    Margin of Error","±2,327"
"Mount Pleasant-Alma, MI CSA",""
"    Estimate","105,486"
"    Margin of Error","*****"
"Myrtle Beach-Conway, SC CSA",""
"    Estimate","463,209"
"    Margin of Error","*****"
"Nashville-Davidson--Murfreesboro, TN CSA",""
"    Estimate","2,351,565"
"    Margin of Error","±2,470"
"New Bern-Morehead City, NC CSA",""
"    Estimate","195,026"
"    Margin of Error","±2,573"
"New Haven-Hartford-Waterbury, CT CSA",""
"    Estimate","2,665,618"
"    Margin of Error","*****"
"New Orleans-Metairie-Slidell, LA-MS CSA",""
"    Estimate","1,340,591"
"    Margin of Error","*****"
"New York-Newark, NY-NJ-CT-PA CSA",""
"    Estimate","21,859,598"
"    Margin of Error","*****"
"North Port-Bradenton, FL CSA",""
"    Estimate","1,152,221"
"    Margin of Error","*****"
"Oklahoma City-Shawnee, OK CSA",""
"    Estimate","1,551,717"
"    Margin of Error","*****"
"Omaha-Fremont, NE-IA CSA",""
"    Estimate","1,021,735"
"    Margin of Error","±1,201"
"Orlando-Lakeland-Deltona, FL CSA",""
"    Estimate","4,509,624"
"    Margin of Error","*****"
"Paducah-Mayfield, KY-IL CSA",""
"    Estimate","138,361"
"    Margin of Error","±2,556"
"Parkersburg-Marietta-Vienna, WV-OH CSA",""
"    Estimate","146,205"
"    Margin of Error","±1,373"
"Peoria-Canton, IL CSA",""
"    Estimate","394,530"
"    Margin of Error","±933"
"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA",""
"    Estimate","7,390,919"
"    Margin of Error","*****"
"Phoenix-Mesa, AZ CSA",""
"    Estimate","5,124,113"
"    Margin of Error","*****"
"Pittsburgh-Weirton-Steubenville, PA-OH-WV CSA",""
"    Estimate","2,728,428"
"    Margin of Error","±2,392"
"Ponce-Coamo, PR CSA",""
"    Estimate","319,592"
"    Margin of Error","*****"
"Portland-Lewiston-South Portland, ME CSA",""
"    Estimate","680,094"
"    Margin of Error","*****"
"Portland-Vancouver-Salem, OR-WA CSA",""
"    Estimate","3,288,544"
"    Margin of Error","±1,743"
"Pueblo-Cañon City, CO CSA",""
"    Estimate","219,740"
"    Margin of Error","*****"
"Pullman-Moscow, WA-ID CSA",""
"    Estimate","89,313"
"    Margin of Error","*****"
"Quincy-Hannibal, IL-MO CSA",""
"    Estimate","111,633"
"    Margin of Error","±1,750"
"Raleigh-Durham-Cary, NC CSA",""
"    Estimate","2,368,947"
"    Margin of Error","*****"
"Rapid City-Spearfish, SD CSA",""
"    Estimate","182,673"
"    Margin of Error","±2,562"
"Redding-Red Bluff, CA CSA",""
"    Estimate","245,262"
"    Margin of Error","*****"
"Reno-Carson City-Gardnerville Ranchos, NV-CA CSA",""
"    Estimate","699,367"
"    Margin of Error","±1,385"
"Richmond-Connersville, IN CSA",""
"    Estimate","89,821"
"    Margin of Error","±1,936"
"Rochester-Austin-Winona, MN CSA",""
"    Estimate","318,856"
"    Margin of Error","*****"
"Rochester-Batavia-Seneca Falls, NY CSA",""
"    Estimate","1,141,965"
"    Margin of Error","*****"
"Rockford-Freeport-Rochelle, IL CSA",""
"    Estimate","428,494"
"    Margin of Error","*****"
"Rocky Mount-Wilson-Roanoke Rapids, NC CSA",""
"    Estimate","286,469"
"    Margin of Error","±2,151"
"Sacramento-Roseville, CA CSA",""
"    Estimate","2,706,315"
"    Margin of Error","*****"
"Saginaw-Midland-Bay City, MI CSA",""
"    Estimate","374,321"
"    Margin of Error","*****"
"St. Louis-St. Charles-Farmington, MO-IL CSA",""
"    Estimate","2,899,235"
"    Margin of Error","±1,879"
"Salisbury-Ocean Pines, MD CSA",""
"    Estimate","183,881"
"    Margin of Error","*****"
"Salt Lake City-Provo-Orem, UT-ID CSA",""
"    Estimate","2,807,359"
"    Margin of Error","±1,553"
"San Antonio-New Braunfels-Kerrville, TX CSA",""
"    Estimate","2,785,647"
"    Margin of Error","*****"
"San Jose-San Francisco-Oakland, CA CSA",""
"    Estimate","9,001,024"
"    Margin of Error","*****"
"San Juan-Bayamón, PR CSA",""
"    Estimate","2,366,196"
"    Margin of Error","±4,735"
"Savannah-Hinesville-Statesboro, GA CSA",""
"    Estimate","641,062"
"    Margin of Error","±2,900"
"Seattle-Tacoma, WA CSA",""
"    Estimate","4,993,725"
"    Margin of Error","*****"
"Shreveport-Bossier City-Minden, LA CSA",""
"    Estimate","418,533"
"    Margin of Error","*****"
"Sioux City-Le Mars, IA-NE-SD CSA",""
"    Estimate","169,607"
"    Margin of Error","±1,828"
"South Bend-Elkhart-Mishawaka, IN-MI CSA",""
"    Estimate","809,876"
"    Margin of Error","*****"
"Spokane-Spokane Valley-Coeur d'Alene, WA-ID CSA",""
"    Estimate","785,302"
"    Margin of Error","*****"
"Springfield-Amherst Town-Northampton, MA CSA",""
"    Estimate","693,629"
"    Margin of Error","*****"
"Springfield-Jacksonville-Lincoln, IL CSA",""
"    Estimate","302,903"
"    Margin of Error","±1,968"
"Starkville-Columbus, MS CSA",""
"    Estimate","126,257"
"    Margin of Error","±2,755"
"State College-DuBois, PA CSA",""
"    Estimate","234,885"
"    Margin of Error","*****"
"Syracuse-Auburn, NY CSA",""
"    Estimate","727,441"
"    Margin of Error","*****"
"Tallahassee-Bainbridge, FL-GA CSA",""
"    Estimate","421,413"
"    Margin of Error","±3,331"
"Tucson-Nogales, AZ CSA",""
"    Estimate","1,112,320"
"    Margin of Error","*****"
"Tulsa-Bartlesville-Muskogee, OK CSA",""
"    Estimate","1,164,670"
"    Margin of Error","±1,247"
"Tupelo-Corinth, MS CSA",""
"    Estimate","166,162"
"    Margin of Error","*****"
"Tyler-Jacksonville, TX CSA",""
"    Estimate","297,426"
"    Margin of Error","*****"
"Victoria-Port Lavaca, TX CSA",""
"    Estimate","120,181"
"    Margin of Error","±2,880"
"Virginia Beach-Chesapeake, VA-NC CSA",""
"    Estimate","1,861,225"
"    Margin of Error","±4,598"
"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA",""
"    Estimate","10,069,066"
"    Margin of Error","±2,416"
"Wausau-Stevens Point-Wisconsin Rapids, WI CSA",""
"    Estimate","283,575"
"    Margin of Error","*****"
"Wichita-Arkansas City-Winfield, KS CSA",""
"    Estimate","687,096"
"    Margin of Error","*****"
"Williamsport-Lock Haven, PA CSA",""
"    Estimate","150,331"
"    Margin of Error","*****"
"Youngstown-Warren-Salem, OH CSA",""
"    Estimate","526,151"
"    Margin of Error","*****"
