"Label (Grouping)","Total"
"Abilene-Sweetwater, TX CSA",""
"    Estimate","194,255"
"    Margin of Error","±3,644"
"Albany-Schenectady, NY CSA",""
"    Estimate","1,192,181"
"    Margin of Error","*****"
"Albuquerque-Santa Fe-Los Alamos, NM CSA",""
"    Estimate","1,169,042"
"    Margin of Error","±3,476"
"Allentown-Bethlehem-East Stroudsburg, PA-NJ CSA",""
"    Estimate","1,039,608"
"    Margin of Error","*****"
"Altoona-Huntingdon, PA CSA",""
"    Estimate","163,787"
"    Margin of Error","*****"
"Amarillo-Borger, TX CSA",""
"    Estimate","292,070"
"    Margin of Error","±985"
"Appleton-Oshkosh-Neenah, WI CSA",""
"    Estimate","418,168"
"    Margin of Error","*****"
"Asheville-Waynesville-Brevard, NC CSA",""
"    Estimate","513,720"
"    Margin of Error","*****"
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA",""
"    Estimate","7,217,525"
"    Margin of Error","±3,967"
"Baton Rouge-Hammond, LA CSA",""
"    Estimate","1,011,725"
"    Margin of Error","*****"
"Birmingham-Cullman-Talladega, AL CSA",""
"    Estimate","1,367,101"
"    Margin of Error","±1,953"
"Bloomington-Bedford, IN CSA",""
"    Estimate","205,958"
"    Margin of Error","*****"
"Bloomington-Pontiac, IL CSA",""
"    Estimate","205,761"
"    Margin of Error","*****"
"Bloomsburg-Berwick-Sunbury, PA CSA",""
"    Estimate","255,178"
"    Margin of Error","*****"
"Boise City-Mountain Home-Ontario, ID-OR CSA",""
"    Estimate","916,533"
"    Margin of Error","±3,091"
"Boston-Worcester-Providence, MA-RI-NH CSA",""
"    Estimate","8,345,067"
"    Margin of Error","*****"
"Bowling Green-Glasgow-Franklin, KY CSA",""
"    Estimate","265,675"
"    Margin of Error","±3,402"
"Brownsville-Harlingen-Raymondville, TX CSA",""
"    Estimate","446,747"
"    Margin of Error","*****"
"Buffalo-Cheektowaga-Olean, NY CSA",""
"    Estimate","1,231,204"
"    Margin of Error","*****"
"Burlington-Fort Madison, IA-IL CSA",""
"    Estimate","76,478"
"    Margin of Error","±1,016"
"Burlington-South Burlington-Barre, VT CSA",""
"    Estimate","287,861"
"    Margin of Error","±1,171"
"Cape Coral-Fort Myers-Naples, FL CSA",""
"    Estimate","1,292,860"
"    Margin of Error","±2,420"
"Cape Girardeau-Sikeston, MO-IL CSA",""
"    Estimate","145,588"
"    Margin of Error","±3,042"
"Carbondale-Marion-Herrin, IL CSA",""
"    Estimate","118,847"
"    Margin of Error","*****"
"Cedar Rapids-Iowa City, IA CSA",""
"    Estimate","455,756"
"    Margin of Error","*****"
"Champaign-Urbana-Danville, IL CSA",""
"    Estimate","308,704"
"    Margin of Error","±1,876"
"Charleston-Huntington-Ashland, WV-OH-KY CSA",""
"    Estimate","642,420"
"    Margin of Error","±2,516"
"Charlotte-Concord, NC-SC CSA",""
"    Estimate","3,387,115"
"    Margin of Error","*****"
"Chattanooga-Cleveland-Dalton, TN-GA-AL CSA",""
"    Estimate","1,002,172"
"    Margin of Error","±3,103"
"Chicago-Naperville, IL-IN-WI CSA",""
"    Estimate","9,794,543"
"    Margin of Error","±2,103"
"Cincinnati-Wilmington, OH-KY-IN CSA",""
"    Estimate","2,314,848"
"    Margin of Error","±3,687"
"Cleveland-Akron-Canton, OH CSA",""
"    Estimate","3,732,803"
"    Margin of Error","*****"
"Columbia-Jefferson City-Moberly, MO CSA",""
