"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
Metropolitan Statistical Area
GeoFips,GeoName,2013-2023
15500,"Burlington, NC (Metropolitan Statistical Area)",1.5
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",0.5
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",0.6
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",-0.1
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",2.5
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",0.1
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",-0.5
16180,"Carson City, NV (Metropolitan Statistical Area)",0.6
16220,"Casper, WY (Metropolitan Statistical Area)",-0.1
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",0.4
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",0.4
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",0.0
16620,"Charleston, WV (Metropolitan Statistical Area)",-1.0
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",1.9
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",1.8
16820,"Charlottesville, VA (Metropolitan Statistical Area) *",0.8
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",0.7
16940,"Cheyenne, WY (Metropolitan Statistical Area)",0.5
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",-0.2
17020,"Chico, CA (Metropolitan Statistical Area)",-0.6
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",0.5
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",1.7
17420,"Cleveland, TN (Metropolitan Statistical Area)",0.9
17460,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",-0.1
17660,"Coeur d'Alene, ID (Metropolitan Statistical Area)",2.5
17780,"College Station-Bryan, TX (Metropolitan Statistical Area)",1.7
17820,"Colorado Springs, CO (Metropolitan Statistical Area)",1.2
17860,"Columbia, MO (Metropolitan Statistical Area)",0.8
17900,"Columbia, SC (Metropolitan Statistical Area)",0.9
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",-0.2
18020,"Columbus, IN (Metropolitan Statistical Area)",0.6
18140,"Columbus, OH (Metropolitan Statistical Area)",1.0
18580,"Corpus Christi, TX (Metropolitan Statistical Area)",0.2
18700,"Corvallis, OR (Metropolitan Statistical Area)",1.2
18880,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",1.9
19060,"Cumberland, MD-WV (Metropolitan Statistical Area)",-0.7
