"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
Metropolitan Statistical Area
GeoFips,GeoName,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00998,United States (Metropolitan Portion),165312410,167673802,170105159,172046247,173780093,175466407,177030533,178686628,180432448,182401281,184484865,186782151,188778153,190745925,192718299,194703380,196876182,199228098,201492835,203720597,206023143,208731806,211749567,214894354,217865356,220657445,223370500,226131436,229081203,232040831,235008165,237948237,240717866,243260703,245592588,248115013,250646689,253256238,255922913,258627316,261210075,263718787,266205658,268779366,271230523,273817755,276425937,278995907,281262885,283180665,284873351,286193652,286656077,287835880,289370890
10180,"Abilene, TX (Metropolitan Statistical Area)",125138,122505,124841,128517,127533,128625,131031,133379,133052,134462,136601,140098,143310,148899,152939,153587,153470,155031,153655,150042,149324,147834,147400,149917,152909,153779,156097,156351,157405,158264,159755,160288,158917,159012,158810,160156,160761,161389,162023,162508,163888,165673,167069,168246,168614,169859,171579,172242,172915,174005,175187,176883,177831,179665,181591
10420,"Akron, OH (Metropolitan Statistical Area)",676214,679077,679231,677046,676196,670284,672844,667910,662233,658517,660364,660334,658870,656126,653968,651917,648457,646647,647810,652814,655626,658654,664478,669752,674114,678063,682146,687264,689461,691039,693125,695946,698108,699533,701139,701811,702498,702433,703423,703300,703361,703057,703272,702245,703809,705134,704664,703862,704229,703925,703361,701674,696512,697511,698398
10500,"Albany, GA (Metropolitan Statistical Area)",120767,123598,127456,131775,133860,130309,131861,134378,137462,138191,140660,142986,144771,145744,145846,146534,147235,146612,145828,144961,144058,143025,144169,146343,148122,149356,150100,151596,152692,153449,153555,153585,153730,153024,152790,152887,152919,153535,153661,153823,154409,154227,154933,154669,153680,153263,152018,151044,150387,150440,149530,148249,144933,145796,145508
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",70221,72587,75547,76467,78150,79006,80942,82420,84723,86334,88999,89668,90173,89748,89415,89253,88019,88026,88069,89223,89890,91690,93145,94112,95496,96919,98853,100582,102054,102770,103462,103020,103544,104561,106035,106799,108132,110764,112932,114967,116001,116840,117938,117865,117822,118285,119295,121648,123657,125788,127700,128981,130120,130622,131496
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",741040,749695,761289,772468,774486,772691,774345,772927,774635,776648,776196,771823,772505,773678,777649,779804,783736,788761,791466,798121,803919,811352,818272,824285,827812,830817,830439,828007,824711,823712,824119,827399,831034,836753,844619,850384,854604,860365,863068,866282,869361,871603,875387,879397,883854,886981,889918,892762,897172,899605,898791,899724,904824,903595,904682
10740,"Albuquerque, NM (Metropolitan Statistical Area) *",377600,382076,397496,407732,426583,440633,450712,464570,481349,492914,508581,525593,534415,511169,522356,533544,544603,558859,574324,583976,594036,602588,616345,633032,649987,669734,687901,700161,709661,717406,722692,732220,741932,757716,772128,789237,809551,831252,849641,863383,876448,889434,897378,900747,903185,902178,903085,905774,908217,910284,913231,917579,919392,920138,922296
10780,"Alexandria, LA (Metropolitan Statistical Area)",131387,132287,136756,137425,139971,140176,141141,143786,146270,147614,149880,152197,152773,152877,154017,154515,153989,154335,153188,151377,150180,148982,149046,147621,142225,143086,144162,143970,143986,144330,144803,145179,145102,145416,146017,146973,147930,151142,151506,152442,153164,154112,154538,154643,154972,155021,154658,154763,154292,153614,153019,151800,150882,149068,148171
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",589204,595577,601892,605156,610947,617690,622114,624814,627598,629719,633073,636389,638748,640790,641637,644843,648256,654365,663413,674767,682657,688801,696168,702948,708776,714019,717685,722063,726464,730779,736327,741817,748705,756628,766938,777277,787738,798586,807578,814050,817779,822144,826750,829566,830735,835077,838490,843181,849703,855983,858656,861557,870135,870570,873555
11020,"Altoona, PA (Metropolitan Statistical Area)",135488,135538,136999,137687,136556,136956,136611,136023,137015,137705,137966,136443,135457,135600,134397,132925,132253,131556,131712,131408,130546,130593,131160,131270,131661,132124,131802,131080,130931,130509,129757,128981,128471,127631,127353,127194,126730,127002,127048,127112,127161,127089,127192,126931,126389,125986,125469,124764,124310,123854,123376,122666,122150,120734,120273
11100,"Amarillo, TX (Metropolitan Statistical Area)",170368,155258,158182,160557,161637,163395,165916,169368,173027,175670,181120,185546,188598,192559,195720,198910,199407,200618,200360,201069,199721,198488,200626,203371,207282,211306,217400,219808,222054,223545,226621,229215,230351,232326,235138,237566,240380,242656,244608,246458,249373,252739,256366,258511,259908,262135,263232,264785,266308,266497,267174,269029,269804,270589,272395
11180,"Ames, IA (Metropolitan Statistical Area)",86911,89447,90583,92099,93216,94131,94174,95325,96351,97669,97790,98682,99140,98350,99213,99117,99559,99338,98466,99056,98820,99582,99832,100389,101141,101060,101721,102679,103856,104151,105536,106403,106509,107971,108300,109126,109384,111210,113093,114285,115645,115952,117552,118366,120499,122552,123653,123972,124446,123798,124556,125347,126440,124836,125156
11260,"Anchorage, AK (Metropolitan Statistical Area)",129696,134230,141875,151010,155729,161355,175236,186127,189680,194074,195031,193839,199831,216861,237309,252265,264128,270074,265211,263645,263958,267762,277407,290307,296514,300188,301878,302606,306480,312895,317172,320618,326081,332582,337730,345245,350903,358718,360194,365633,374562,383520,388580,392786,398109,399295,400037,402960,402227,399416,398135,398397,400167,400455,401314
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",223597,234226,236222,241470,246780,256447,251024,253934,257407,259775,262859,264400,262466,260239,260212,260737,262568,266087,269717,273346,279329,283987,287126,290323,291617,293671,297926,303133,308398,312601,318270,324372,328749,332763,336154,339422,342234,344018,345310,341595,343520,346099,350678,353787,358086,362657,366217,370164,373451,374825,373011,371834,365013,366504,365536
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",102946,103125,103622,103846,105027,105917,107005,112768,112801,116474,116742,120016,120814,122109,121249,121739,118644,117700,118092,117260,116381,116118,115247,115804,116324,116161,116790,116684,117254,117179,114910,111081,111266,111625,112705,113462,114477,115388,116211,117274,118363,118493,118132,117880,117465,117209,117048,116810,116796,116622,116669,116243,115678,115780,116429
11540,"Appleton, WI (Metropolitan Statistical Area)",143488,147307,148324,149228,148989,150556,153496,152296,154282,155590,156784,159892,160685,161454,162093,163293,164668,166459,168530,171443,173276,175333,177039,179533,182315,185813,188656,191586,194050,196776,199495,202618,205676,208747,211350,213592,215925,218441,220368,222402,224632,225987,228018,229551,231310,233393,235357,236862,238918,240660,242015,243451,243903,244981,246433
11700,"Asheville, NC (Metropolitan Statistical Area)",244960,246263,251104,253306,257291,260984,264807,266999,270770,275655,279654,283635,285988,289085,289822,293506,296586,299050,300229,302741,305480,309502,315160,321240,328220,334878,341739,347921,354052,359909,365159,370615,374904,379818,385178,390713,396408,404546,411842,417457,422014,425434,428568,431781,436989,441196,446457,452542,457567,462324,466006,469781,473350,476584,480171
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",92643,94672,97214,100987,105560,107666,108211,106120,107309,108452,109148,114324,117011,118289,120365,122473,124327,125434,128002,130586,133894,136914,139359,141899,144916,148953,151718,154977,158291,160330,163456,166763,168973,170838,173847,178106,178974,183171,186781,189948,192021,193456,194477,196186,197886,198748,203049,205850,209508,212076,214486,215712,218314,220331,222060
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",1830794,1862083,1923687,1986477,2055233,2109395,2127779,2152893,2194331,2234980,2295738,2352155,2403406,2453618,2516569,2593856,2689442,2784902,2881787,2965367,3033139,3104221,3195398,3291991,3402250,3523718,3644699,3765817,3888398,4021410,4157862,4293475,4402455,4489288,4572541,4659574,4770870,4931848,5066356,5170099,5240828,5303075,5368727,5448515,5516376,5600845,5695632,5800316,5886680,5962727,6039848,6105757,6145550,6223443,6292404
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",174603,175908,179824,184987,187199,189113,189544,189613,189311,191121,193082,194566,195984,196548,199168,202752,206045,209388,212581,217445,221589,225431,228763,231612,234288,236589,239212,242152,244771,247863,250432,253674,255737,259263,263285,267723,270332,271759,272303,273014,274049,274943,276084,277274,278140,277553,276237,274324,273651,273295,274085,274190,274956,275382,275213
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",55869,61262,61896,62158,64588,68823,69373,69980,71861,74069,75990,76610,77777,79001,79121,80289,81176,82776,82681,84601,85851,87735,89508,91572,94295,96057,99386,102185,106578,109936,112898,115430,116819,118392,120071,122274,126133,129247,131934,134524,138566,140975,145014,150195,154196,157684,160934,164008,167184,170423,172030,174754,177596,180698,183215
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",329558,330105,330340,328410,332508,340794,348901,359074,364786,374244,383370,390476,393411,398117,403081,409893,418761,427630,429399,432054,436235,446200,459773,474398,476818,483333,489089,490788,496030,500636,504895,508896,512626,516818,520120,526789,531294,538643,545524,552627,558096,566672,570754,576013,579495,582602,588955,594350,599308,603251,607877,612172,616187,623985,629429
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",382835,401871,419249,447971,473351,485969,497356,517680,532052,538668,571520,589582,605961,633452,668303,707646,758510,793109,807392,817153,831848,851898,880678,912833,949788,988925,1031557,1073037,1111264,1155579,1205898,1264950,1321316,1347822,1376030,1410058,1453358,1515485,1577856,1633870,1682338,1727600,1781093,1835567,1884778,1944376,2004539,2064915,2118521,2169743,2231398,2300135,2358634,2423170,2473275
12540,"Bakersfield, CA (Metropolitan Statistical Area)",325549,330868,336227,336833,343007,344840,356866,366932,372217,377990,393198,406407,418877,433698,446961,459411,474243,486217,497910,510980,527922,549535,569346,589897,599843,614707,620201,626719,634695,643016,655428,663803,676574,694059,714272,736296,760726,784511,803281,818327,830137,841554,849606,856127,865259,873177,880708,886081,893150,900315,906453,905910,912709,916751,913820
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",2072804,2094838,2132113,2152232,2167899,2179392,2184332,2188964,2201877,2204362,2209160,2203385,2214413,2220748,2228439,2244735,2255970,2285633,2309719,2340870,2360610,2390543,2418136,2440078,2458038,2475364,2490370,2501453,2513492,2525266,2540307,2557958,2575471,2596501,2614232,2630946,2644231,2658162,2667619,2679819,2696018,2716811,2739196,2764471,2782512,2798729,2812978,2821424,2830275,2837598,2842883,2842668,2843219,2834813,2834316
12620,"Bangor, ME (Metropolitan Statistical Area)",125729,125812,127935,129035,130797,132038,133434,135542,136134,136912,137157,137228,137952,138020,138101,138488,138654,139169,140207,142639,145402,147046,147315,146435,146752,147000,145724,145356,144910,144574,144902,144937,146110,147298,148759,148814,149726,151446,152232,153372,153770,153877,153842,153501,153444,153487,152271,151703,152112,152166,152234,152169,153359,154728,155312
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",94791,97632,99244,99237,111093,123816,129437,133142,138071,140966,146265,148847,152189,154460,157320,162135,166578,171633,176215,181137,184642,187335,189165,191595,194830,198533,202874,206852,210380,214497,218960,223031,224087,225421,226011,224264,221995,220037,218380,217066,215994,216289,217298,218300,219597,220938,222109,223471,225110,226622,227312,228012,232315,232078,231735
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",482227,486888,496250,509145,517875,528099,538564,553502,570000,582400,599371,616887,629470,641928,652140,656970,660608,660308,652064,647939,646296,648009,657862,669807,679884,687147,694120,701312,709007,716245,724139,730913,733925,738589,745536,753093,758706,795417,803339,811301,819405,827959,833044,839003,846054,852164,857755,864743,863436,865057,868080,870286,872646,872347,873661
12980,"Battle Creek, MI (Metropolitan Statistical Area)",141960,141561,140647,141963,142349,143021,142640,142359,142772,143463,142341,141701,141880,139886,137629,135682,134523,134316,134849,134459,135457,136226,136814,137298,137775,137910,137393,136630,136834,137783,138021,138014,138158,138580,138962,139443,138946,138291,137582,137313,136301,135967,135180,134878,134960,135079,134665,134688,134526,134311,134314,134200,133878,133424,133366
13020,"Bay City, MI (Metropolitan Statistical Area)",116323,117502,118513,119094,119824,120548,120441,120560,121500,122057,121074,120037,120401,118804,117330,116677,115017,114267,113959,112898,112061,111804,111803,112182,112397,112025,111680,111231,111040,110704,110295,110192,109836,109861,109559,109453,109165,108711,108132,108320,107913,107710,107578,107260,107221,106599,105916,105184,104967,104674,104079,103742,103108,102638,102500
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",346313,347694,349841,351292,345976,346501,351699,357229,363114,364725,370911,374797,380033,385895,387177,385029,380408,367831,365565,361654,360338,361510,366555,371174,375979,377590,380888,380417,381675,382827,385034,384759,382708,383004,383208,384438,385490,379119,382330,385248,387146,389399,391632,390922,393098,394119,397910,400237,402279,397657,397323,397237,395526,394489,395479
13220,"Beckley, WV (Metropolitan Statistical Area)",119522,119794,122399,126518,128707,129362,132602,138390,142246,144129,145047,144639,144324,144345,144081,142180,140228,137822,133725,129757,125854,124685,124959,125222,126345,126577,127571,128425,128275,127892,127431,126525,125318,125672,125519,125145,124570,124378,124566,124550,124816,124943,125252,125089,124316,123289,121997,120335,118537,117118,115943,114822,113815,112189,111428
13380,"Bellingham, WA (Metropolitan Statistical Area)",80696,82606,85688,89443,89700,91043,93332,96070,98453,101482,104380,107222,109096,109885,110630,111294,112441,113262,115361,119002,123294,129111,133823,138957,143669,147593,151369,155134,158133,160988,164566,167696,171172,174904,177851,181756,185450,188926,192837,196708,199865,201471,203109,204189,205103,206873,210224,214400,218946,222242,225421,227449,226701,230598,231919
13460,"Bend, OR (Metropolitan Statistical Area)",29726,30882,32835,34804,37682,40155,42422,44686,47969,53349,58452,62365,63130,63031,62516,63839,64959,66160,66862,68882,71415,76053,80456,84199,88061,91393,95491,99362,102581,106820,111933,116566,120526,125247,129094,133756,140567,148149,152633,156820,157345,157697,159445,160974,164745,168775,173308,179485,185374,189910,195275,199464,205283,206483,208513
13740,"Billings, MT (Metropolitan Statistical Area)",98724,99590,102264,104337,105903,109243,111813,114570,117033,120831,122169,122320,124281,127232,130476,133163,133865,133004,130848,128914,128242,128207,130091,133388,136715,139406,141662,143283,144327,144892,146331,147378,148858,150320,151913,153672,156025,158157,160358,163165,165575,167596,169134,171153,173677,175356,176865,178373,180087,180923,182465,184726,187351,190275,191435
13780,"Binghamton, NY (Metropolitan Statistical Area)",267973,268851,270746,267509,267518,265630,268656,269063,268668,267705,266989,263639,263859,264005,263473,263182,264719,263651,262266,263797,264388,264731,265632,266571,265993,264082,260079,256702,254213,253235,252773,252189,252580,253430,252932,252605,252088,252441,252442,252527,252171,251728,251458,251144,251184,251193,250330,249300,248689,248426,247533,246504,246642,245024,243792
