GeoFips,GeoName,Value
19460,"Decatur, AL (Metropolitan Statistical Area)",87.173
19500,"Decatur, IL (Metropolitan Statistical Area)",87.25
19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",98.779
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",107.394
19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",92.09
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",96.134
20020,"Dothan, AL (Metropolitan Statistical Area)",84.978
20100,"Dover, DE (Metropolitan Statistical Area)",95.07
20220,"Dubuque, IA (Metropolitan Statistical Area)",86.442
20260,"Duluth, MN-WI (Metropolitan Statistical Area)",88.613
20500,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",96.607
20700,"East Stroudsburg, PA (Metropolitan Statistical Area)",94.278
20740,"Eau Claire, WI (Metropolitan Statistical Area)",91.057
20940,"El Centro, CA (Metropolitan Statistical Area)",100.135
21060,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",88.877
21140,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",91.512
21300,"Elmira, NY (Metropolitan Statistical Area)",92.706
21340,"El Paso, TX (Metropolitan Statistical Area)",91.211
21420,"Enid, OK (Metropolitan Statistical Area) *",85.488
21500,"Erie, PA (Metropolitan Statistical Area)",90.686
21660,"Eugene-Springfield, OR (Metropolitan Statistical Area)",104.649
21780,"Evansville, IN-KY (Metropolitan Statistical Area)",88.831
21820,"Fairbanks, AK (Metropolitan Statistical Area)",98.629
22020,"Fargo, ND-MN (Metropolitan Statistical Area)",87.927
22140,"Farmington, NM (Metropolitan Statistical Area)",88.427
22180,"Fayetteville, NC (Metropolitan Statistical Area)",91.398
22220,"Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)",90.72
22380,"Flagstaff, AZ (Metropolitan Statistical Area)",95.511
22420,"Flint, MI (Metropolitan Statistical Area)",90.727
22500,"Florence, SC (Metropolitan Statistical Area)",88.244
22520,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",84.17
22540,"Fond du Lac, WI (Metropolitan Statistical Area)",89.392
22660,"Fort Collins, CO (Metropolitan Statistical Area)",98.196
22900,"Fort Smith, AR-OK (Metropolitan Statistical Area)",85.615
23060,"Fort Wayne, IN (Metropolitan Statistical Area)",92.659
23420,"Fresno, CA (Metropolitan Statistical Area)",105.226
23460,"Gadsden, AL (Metropolitan Statistical Area)",81.903
23540,"Gainesville, FL (Metropolitan Statistical Area)",96.367
