GeoFips,GeoName,Value
19460,"Decatur, AL (Metropolitan Statistical Area)",55.371
19500,"Decatur, IL (Metropolitan Statistical Area)",56.621
19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",105.02
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",145.767
19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",87.533
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",94.26
20020,"Dothan, AL (Metropolitan Statistical Area)",47.87
20100,"Dover, DE (Metropolitan Statistical Area)",81.541
20220,"Dubuque, IA (Metropolitan Statistical Area)",61.448
20260,"Duluth, MN-WI (Metropolitan Statistical Area)",74.634
20500,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",91.43
20700,"East Stroudsburg, PA (Metropolitan Statistical Area)",80.037
20740,"Eau Claire, WI (Metropolitan Statistical Area)",71.69
20940,"El Centro, CA (Metropolitan Statistical Area)",73.97
21060,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",58.872
21140,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",72.962
21300,"Elmira, NY (Metropolitan Statistical Area)",74.349
21340,"El Paso, TX (Metropolitan Statistical Area)",73.399
21420,"Enid, OK (Metropolitan Statistical Area) *",50.101
21500,"Erie, PA (Metropolitan Statistical Area)",61.561
21660,"Eugene-Springfield, OR (Metropolitan Statistical Area)",99.512
21780,"Evansville, IN-KY (Metropolitan Statistical Area)",60
21820,"Fairbanks, AK (Metropolitan Statistical Area)",79.903
22020,"Fargo, ND-MN (Metropolitan Statistical Area)",63.475
22140,"Farmington, NM (Metropolitan Statistical Area)",66.999
22180,"Fayetteville, NC (Metropolitan Statistical Area)",67.412
22220,"Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)",71.832
22380,"Flagstaff, AZ (Metropolitan Statistical Area)",99.733
22420,"Flint, MI (Metropolitan Statistical Area)",68.65
22500,"Florence, SC (Metropolitan Statistical Area)",54.196
22520,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",45.789
22540,"Fond du Lac, WI (Metropolitan Statistical Area)",62.888
22660,"Fort Collins, CO (Metropolitan Statistical Area)",130.329
22900,"Fort Smith, AR-OK (Metropolitan Statistical Area)",51.137
23060,"Fort Wayne, IN (Metropolitan Statistical Area)",79.494
23420,"Fresno, CA (Metropolitan Statistical Area)",96.299
23460,"Gadsden, AL (Metropolitan Statistical Area)",42.684
23540,"Gainesville, FL (Metropolitan Statistical Area)",89.527
23580,"Gainesville, GA (Metropolitan Statistical Area)",94.664
23900,"Gettysburg, PA (Metropolitan Statistical Area)",85.335
24020,"Glens Falls, NY (Metropolitan Statistical Area)",73.6
24140,"Goldsboro, NC (Metropolitan Statistical Area)",59.136
24220,"Grand Forks, ND-MN (Metropolitan Statistical Area)",58.616
24260,"Grand Island, NE (Metropolitan Statistical Area)",57.937
24300,"Grand Junction, CO (Metropolitan Statistical Area)",96.356
24340,"Grand Rapids-Kentwood, MI (Metropolitan Statistical Area)",87.352
24420,"Grants Pass, OR (Metropolitan Statistical Area)",90.441
24500,"Great Falls, MT (Metropolitan Statistical Area)",78.212
24540,"Greeley, CO (Metropolitan Statistical Area)",104.201
24580,"Green Bay, WI (Metropolitan Statistical Area)",68.838
24660,"Greensboro-High Point, NC (Metropolitan Statistical Area)",71.158
24780,"Greenville, NC (Metropolitan Statistical Area)",56.699
24860,"Greenville-Anderson, SC (Metropolitan Statistical Area)",76.184
25060,"Gulfport-Biloxi, MS (Metropolitan Statistical Area)",62.51
25180,"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",73.243
25220,"Hammond, LA (Metropolitan Statistical Area)",64.614
25260,"Hanford-Corcoran, CA (Metropolitan Statistical Area)",82.153
25420,"Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",87.256
25500,"Harrisonburg, VA (Metropolitan Statistical Area)",83.605
25540,"Hartford-East Hartford-Middletown, CT (Metropolitan Statistical Area)",108.222
25620,"Hattiesburg, MS (Metropolitan Statistical Area)",64.154
25860,"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",59.289
25940,"Hilton Head Island-Bluffton, SC (Metropolitan Statistical Area)",109.643
25980,"Hinesville, GA (Metropolitan Statistical Area)",81.558
26140,"Homosassa Springs, FL (Metropolitan Statistical Area)",82.542
26300,"Hot Springs, AR (Metropolitan Statistical Area)",56.788
26380,"Houma-Thibodaux, LA (Metropolitan Statistical Area)",57.728
26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",108.033
26580,"Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",51.035
26620,"Huntsville, AL (Metropolitan Statistical Area)",76.845
26820,"Idaho Falls, ID (Metropolitan Statistical Area)",83.236
26900,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",84.641
26980,"Iowa City, IA (Metropolitan Statistical Area)",83.398
27060,"Ithaca, NY (Metropolitan Statistical Area)",106.542
27100,"Jackson, MI (Metropolitan Statistical Area)",71.674
27140,"Jackson, MS (Metropolitan Statistical Area)",68.358
27180,"Jackson, TN (Metropolitan Statistical Area)",57.076
27260,"Jacksonville, FL (Metropolitan Statistical Area)",103.377
27340,"Jacksonville, NC (Metropolitan Statistical Area)",72.657
27500,"Janesville-Beloit, WI (Metropolitan Statistical Area)",77.018
27620,"Jefferson City, MO (Metropolitan Statistical Area)",60.114
27740,"Johnson City, TN (Metropolitan Statistical Area)",56.222
27780,"Johnstown, PA (Metropolitan Statistical Area)",51.158
27860,"Jonesboro, AR (Metropolitan Statistical Area)",54.806
27900,"Joplin, MO (Metropolitan Statistical Area)",52.438
27980,"Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",115.364
28020,"Kalamazoo-Portage, MI (Metropolitan Statistical Area)",89.631
28100,"Kankakee, IL (Metropolitan Statistical Area)",76.579
28140,"Kansas City, MO-KS (Metropolitan Statistical Area)",85.603
28420,"Kennewick-Richland, WA (Metropolitan Statistical Area)",101.277
28660,"Killeen-Temple, TX (Metropolitan Statistical Area)",74.626
28700,"Kingsport-Bristol, TN-VA (Metropolitan Statistical Area)",53.872
28740,"Kingston, NY (Metropolitan Statistical Area)",110.828
28940,"Knoxville, TN (Metropolitan Statistical Area)",74.093
29020,"Kokomo, IN (Metropolitan Statistical Area)",52.491
29100,"La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",72.352
29180,"Lafayette, LA (Metropolitan Statistical Area)",62.296
29200,"Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",76.093
29340,"Lake Charles, LA (Metropolitan Statistical Area)",60.789
29420,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",86.328
29460,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",89.985
29540,"Lancaster, PA (Metropolitan Statistical Area)",92.492
29620,"Lansing-East Lansing, MI (Metropolitan Statistical Area)",85.563
29700,"Laredo, TX (Metropolitan Statistical Area)",69.705
29740,"Las Cruces, NM (Metropolitan Statistical Area)",60.183
29820,"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",112.704
29940,"Lawrence, KS (Metropolitan Statistical Area)",84.897
30020,"Lawton, OK (Metropolitan Statistical Area)",53.49
30140,"Lebanon, PA (Metropolitan Statistical Area)",72.419
30300,"Lewiston, ID-WA (Metropolitan Statistical Area)",58.569
30340,"Lewiston-Auburn, ME (Metropolitan Statistical Area)",85.788
30460,"Lexington-Fayette, KY (Metropolitan Statistical Area)",70.874
30620,"Lima, OH (Metropolitan Statistical Area)",63.155
30700,"Lincoln, NE (Metropolitan Statistical Area)",86.18
30780,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",65.2
