"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
Metropolitan Statistical Area
GeoFips,GeoName,2013-2023
12980,"Battle Creek, MI (Metropolitan Statistical Area)",3.4
13020,"Bay City, MI (Metropolitan Statistical Area)",4.0
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",3.2
13220,"Beckley, WV (Metropolitan Statistical Area)",4.1
13380,"Bellingham, WA (Metropolitan Statistical Area)",4.5
13460,"Bend, OR (Metropolitan Statistical Area)",7.0
13740,"Billings, MT (Metropolitan Statistical Area)",4.6
13780,"Binghamton, NY (Metropolitan Statistical Area)",3.6
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",4.7
13900,"Bismarck, ND (Metropolitan Statistical Area)",3.1
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",5.0
14010,"Bloomington, IL (Metropolitan Statistical Area)",3.5
14020,"Bloomington, IN (Metropolitan Statistical Area)",5.3
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",4.0
14260,"Boise City, ID (Metropolitan Statistical Area)",5.5
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",5.1
14500,"Boulder, CO (Metropolitan Statistical Area) *",6.0
14540,"Bowling Green, KY (Metropolitan Statistical Area)",3.9
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",5.2
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",3.9
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",4.3
15260,"Brunswick, GA (Metropolitan Statistical Area)",5.3
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",4.0
15500,"Burlington, NC (Metropolitan Statistical Area)",4.1
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",4.0
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",3.6
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",4.0
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",4.6
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",3.9
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",4.0
16180,"Carson City, NV (Metropolitan Statistical Area)",4.5
16220,"Casper, WY (Metropolitan Statistical Area)",2.7
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",3.6
