"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
Metropolitan Statistical Area
GeoFips,GeoName,1993-2023
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",3.9
16180,"Carson City, NV (Metropolitan Statistical Area)",3.3
16220,"Casper, WY (Metropolitan Statistical Area)",4.3
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",3.8
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",3.8
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",3.8
16620,"Charleston, WV (Metropolitan Statistical Area)",3.6
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",4.5
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",4.0
16820,"Charlottesville, VA (Metropolitan Statistical Area) *",4.6
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",3.7
16940,"Cheyenne, WY (Metropolitan Statistical Area)",3.8
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",3.8
17020,"Chico, CA (Metropolitan Statistical Area)",4.0
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",3.9
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",3.6
17420,"Cleveland, TN (Metropolitan Statistical Area)",3.4
17460,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",3.6
17660,"Coeur d'Alene, ID (Metropolitan Statistical Area)",4.1
17780,"College Station-Bryan, TX (Metropolitan Statistical Area)",4.2
17820,"Colorado Springs, CO (Metropolitan Statistical Area)",3.9
17860,"Columbia, MO (Metropolitan Statistical Area)",3.7
17900,"Columbia, SC (Metropolitan Statistical Area)",3.7
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",3.5
18020,"Columbus, IN (Metropolitan Statistical Area)",3.7
18140,"Columbus, OH (Metropolitan Statistical Area)",3.7
18580,"Corpus Christi, TX (Metropolitan Statistical Area)",4.0
18700,"Corvallis, OR (Metropolitan Statistical Area)",3.8
18880,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",4.2
19060,"Cumberland, MD-WV (Metropolitan Statistical Area)",3.8
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",4.0
19140,"Dalton, GA (Metropolitan Statistical Area)",3.0
19180,"Danville, IL (Metropolitan Statistical Area)",3.6
19300,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",3.9
19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",3.7
19430,"Dayton-Kettering, OH (Metropolitan Statistical Area)",3.5
19460,"Decatur, AL (Metropolitan Statistical Area)",3.3
19500,"Decatur, IL (Metropolitan Statistical Area)",3.7
19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",4.0
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",4.4
19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",3.8
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",3.5
20020,"Dothan, AL (Metropolitan Statistical Area)",3.7
20100,"Dover, DE (Metropolitan Statistical Area)",3.5
20220,"Dubuque, IA (Metropolitan Statistical Area)",4.1
20260,"Duluth, MN-WI (Metropolitan Statistical Area)",3.9
20500,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",3.8
20700,"East Stroudsburg, PA (Metropolitan Statistical Area)",3.6
20740,"Eau Claire, WI (Metropolitan Statistical Area)",4.0
20940,"El Centro, CA (Metropolitan Statistical Area)",3.5
21060,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",3.7
21140,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",3.6
21300,"Elmira, NY (Metropolitan Statistical Area)",3.6
21340,"El Paso, TX (Metropolitan Statistical Area)",4.0
21420,"Enid, OK (Metropolitan Statistical Area)",3.4
21500,"Erie, PA (Metropolitan Statistical Area)",3.5
21660,"Eugene-Springfield, OR (Metropolitan Statistical Area)",4.0
21780,"Evansville, IN-KY (Metropolitan Statistical Area)",3.7
21820,"Fairbanks, AK (Metropolitan Statistical Area)",3.9
22020,"Fargo, ND-MN (Metropolitan Statistical Area)",4.4
22140,"Farmington, NM (Metropolitan Statistical Area)",3.7
22180,"Fayetteville, NC (Metropolitan Statistical Area)",3.1
22220,"Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)",5.3
22380,"Flagstaff, AZ (Metropolitan Statistical Area)",4.6
22420,"Flint, MI (Metropolitan Statistical Area)",3.3
22500,"Florence, SC (Metropolitan Statistical Area)",3.8
22520,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",3.3
22540,"Fond du Lac, WI (Metropolitan Statistical Area)",3.5
22660,"Fort Collins, CO (Metropolitan Statistical Area)",4.2
22900,"Fort Smith, AR-OK (Metropolitan Statistical Area)",3.5
23060,"Fort Wayne, IN (Metropolitan Statistical Area)",3.4
23420,"Fresno, CA (Metropolitan Statistical Area)",3.6
23460,"Gadsden, AL (Metropolitan Statistical Area)",3.4
23540,"Gainesville, FL (Metropolitan Statistical Area)",3.7
23580,"Gainesville, GA (Metropolitan Statistical Area)",3.9
23900,"Gettysburg, PA (Metropolitan Statistical Area)",3.8
24020,"Glens Falls, NY (Metropolitan Statistical Area)",3.9
24140,"Goldsboro, NC (Metropolitan Statistical Area)",3.7
24220,"Grand Forks, ND-MN (Metropolitan Statistical Area)",4.3
24260,"Grand Island, NE (Metropolitan Statistical Area)",4.1
24300,"Grand Junction, CO (Metropolitan Statistical Area)",3.9
24340,"Grand Rapids-Kentwood, MI (Metropolitan Statistical Area)",3.9
24420,"Grants Pass, OR (Metropolitan Statistical Area)",4.1
24500,"Great Falls, MT (Metropolitan Statistical Area)",3.8
24540,"Greeley, CO (Metropolitan Statistical Area) *",4.2
24580,"Green Bay, WI (Metropolitan Statistical Area)",3.8
24660,"Greensboro-High Point, NC (Metropolitan Statistical Area)",3.2
24780,"Greenville, NC (Metropolitan Statistical Area)",3.7
24860,"Greenville-Anderson, SC (Metropolitan Statistical Area)",3.7
25060,"Gulfport-Biloxi, MS (Metropolitan Statistical Area)",3.4
25180,"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",3.9
25220,"Hammond, LA (Metropolitan Statistical Area)",4.1
25260,"Hanford-Corcoran, CA (Metropolitan Statistical Area)",3.5
25420,"Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",3.4
25500,"Harrisonburg, VA (Metropolitan Statistical Area) *",3.5
25540,"Hartford-East Hartford-Middletown, CT (Metropolitan Statistical Area)",3.4
25620,"Hattiesburg, MS (Metropolitan Statistical Area)",3.9
25860,"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",3.4
25940,"Hilton Head Island-Bluffton, SC (Metropolitan Statistical Area)",4.2
25980,"Hinesville, GA (Metropolitan Statistical Area)",3.7
26140,"Homosassa Springs, FL (Metropolitan Statistical Area)",3.5
26300,"Hot Springs, AR (Metropolitan Statistical Area)",3.5
26380,"Houma-Thibodaux, LA (Metropolitan Statistical Area)",4.4
26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",4.0
26580,"Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",3.8
26620,"Huntsville, AL (Metropolitan Statistical Area)",3.7
26820,"Idaho Falls, ID (Metropolitan Statistical Area)",3.9
26900,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",3.9
26980,"Iowa City, IA (Metropolitan Statistical Area)",3.9
27060,"Ithaca, NY (Metropolitan Statistical Area)",3.7
27100,"Jackson, MI (Metropolitan Statistical Area)",3.3
27140,"Jackson, MS (Metropolitan Statistical Area)",4.0
27180,"Jackson, TN (Metropolitan Statistical Area)",3.7
27260,"Jacksonville, FL (Metropolitan Statistical Area)",3.8
27340,"Jacksonville, NC (Metropolitan Statistical Area)",3.9
27500,"Janesville-Beloit, WI (Metropolitan Statistical Area)",3.4
27620,"Jefferson City, MO (Metropolitan Statistical Area)",3.7
27740,"Johnson City, TN (Metropolitan Statistical Area)",3.7
27780,"Johnstown, PA (Metropolitan Statistical Area)",3.7
27860,"Jonesboro, AR (Metropolitan Statistical Area)",3.8
27900,"Joplin, MO (Metropolitan Statistical Area)",3.4
27980,"Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",3.6
28020,"Kalamazoo-Portage, MI (Metropolitan Statistical Area)",3.6
28100,"Kankakee, IL (Metropolitan Statistical Area)",3.6
28140,"Kansas City, MO-KS (Metropolitan Statistical Area)",3.8
28420,"Kennewick-Richland, WA (Metropolitan Statistical Area)",3.2
28660,"Killeen-Temple, TX (Metropolitan Statistical Area)",3.4
28700,"Kingsport-Bristol, TN-VA (Metropolitan Statistical Area) *",3.6
28740,"Kingston, NY (Metropolitan Statistical Area)",4.0
28940,"Knoxville, TN (Metropolitan Statistical Area)",3.9
29020,"Kokomo, IN (Metropolitan Statistical Area)",2.9
29100,"La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",3.9
29180,"Lafayette, LA (Metropolitan Statistical Area)",4.3
29200,"Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",3.5
29340,"Lake Charles, LA (Metropolitan Statistical Area)",3.8
29420,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",3.7
29460,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",3.1
29540,"Lancaster, PA (Metropolitan Statistical Area)",3.8
29620,"Lansing-East Lansing, MI (Metropolitan Statistical Area)",3.4
29700,"Laredo, TX (Metropolitan Statistical Area)",4.3
29740,"Las Cruces, NM (Metropolitan Statistical Area)",4.0
29820,"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",3.5
29940,"Lawrence, KS (Metropolitan Statistical Area)",4.0
30020,"Lawton, OK (Metropolitan Statistical Area)",3.7
30140,"Lebanon, PA (Metropolitan Statistical Area)",3.7
30300,"Lewiston, ID-WA (Metropolitan Statistical Area)",3.6
30340,"Lewiston-Auburn, ME (Metropolitan Statistical Area)",3.6
30460,"Lexington-Fayette, KY (Metropolitan Statistical Area)",3.6
30620,"Lima, OH (Metropolitan Statistical Area)",3.7
30700,"Lincoln, NE (Metropolitan Statistical Area)",3.9
30780,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",3.7
30860,"Logan, UT-ID (Metropolitan Statistical Area)",4.1
30980,"Longview, TX (Metropolitan Statistical Area)",3.8
31020,"Longview, WA (Metropolitan Statistical Area)",3.8
31080,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",4.2
31140,"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",3.8
31180,"Lubbock, TX (Metropolitan Statistical Area)",3.7
31340,"Lynchburg, VA (Metropolitan Statistical Area) *",3.4
